r,g,b,name,color
252,151,172,pink1,color pink1
255,105,143,pink2,color pink2
189,125,133,pink3,color pink3
223,102,149,pink4,color pink4
247,133,177,pink5,color pink5
205,98,152,pink6,color pink6
228,173,200,pink7,color pink7
200,112,160,pink8,color pink8
146,57,120,pink9,color pink9
170,77,142,pink10,color pink10
206,29,155,pink11,color pink11
129,0,123,pink12,color pink12
132,94,132,pink13,color pink13
150,112,159,pink14,color pink14
225,213,237,pink15,color pink14
142,85,151,pink16,color pink15
172,120,186,pink17,color pink16
75,0,130,blue1,color blue1
63,54,145,blue2,color blue2
147,145,228,blue3,color blue3
77,76,82,blue4,color blue4
165,165,203,blue5,color blue5
89,93,96,c1,color c1
201,202,226,c2,color c2
165,169,180,c3,color c3
32,50,176,b1,color b1
67,87,163,b2,color b2
104,116,202,b3,color b3
0,32,160,b4,color b4
76,97,219,b5,color b5
96,116,161,b6,color b6
121,136,161,b7,color b7
193,223,240,b8,color b8
0,85,191,b9,color b9
97,175,255,b10,color b10
0,87,166,b11,color b11
10,52,99,b12,color b12
27,42,52,b13,color b13
90,147,219,b14,color b14
180,212,247,b15,color b15
175,181,199,b16,color b16
108,150,191,b17,color b17
159,195,233,b18,color b18
7,139,201,b19,color b19
53,146,195,b20,color b20
104,174,206,b21,color b21
125,191,221,b22,color b22
180,210,227,b23,color b23
207,226,247,b24,color b24
70,112,131,b25,color b25
3,156,189,b26,color b26
104,188,197,b27,color b27
54,174,191,b28,color b28
90,196,218,b29,color b29
0,143,155,b30,color b30
5,19,29,br1,color br1
85,165,175,b31,color b31
174,239,236,b32,color b32
173,195,192,b33,color b33
179,215,209,b34,color b34
156,163,168,b35,color b35
39,134,126,g1,color g1
24,70,50,g2,color g2
60,179,113,g3,color g3
115,220,161,g4,color g4
35,120,65,g5,color g5
0,100,0,g6,color g6
30,96,30,g7,color g7
75,159,74,g8,color g8
132,182,141,g9,color g9
160,188,172,g10,color g10
125,181,56,g11,color g11
124,144,81,g12,color g12
189,198,173,g13,color g13
194,218,184,g14,color g14
137,155,95,g15,color g15
223,238,165,g16,color g16
217,228,167,g17,color g17
187,233,11,g18,color g18
192,245,0,g19,color g19
199,210,60,g20,color g20
189,198,24,g21,color g21
255,240,58,g22,color g22
248,241,132,g23,color g23
155,154,90,g24,color g24
92,80,48,g25,color g25
109,110,92,g26,color g26
212,213,201,g27,color g27
230,227,218,g28,color g28
187,165,61,o1,color o1
255,227,113,o2,color o2
218,176,0,o3,color o3
251,232,144,o4,color o4
251,230,150,o5,color o5
243,195,5,o6,color o6
254,213,87,o7,color o7
245,205,47,o8,color o8
242,205,55,o9,color o9
222,198,156,o10,color o10
219,172,52,o11,color o11
255,167,11,o12,color o12
53,33,0,o13,color o13
248,187,61,o14,color o14
170,127,46,o15,color o15
239,145,33,o16,color o16
220,188,129,o17,color o17
228,205,158,o18,color o18
250,156,28,o19,color o19
252,183,109,o20,color o20
249,186,97,o21,color o21
255,128,13,o22,color o22
169,85,0,o23,color o23
254,138,24,o24,color o24
240,143,28,o25,color o25
204,112,42,o26,color o26
124,80,58,br2,color br2
180,132,85,br3,color br3
144,116,80,br4,color br4
243,207,155,br5,color br5
100,90,76,br6,color br6
246,215,179,br7,color br7
149,138,115,br8,color br8
247,173,99,br9,color br9
208,145,104,br10,color br10
174,122,89,br11,color br11
244,123,48,br12,color br12
88,57,39,br13,color br13
182,123,80,br14,color br14
88,42,18,br15,color br15
242,112,94,br16,color br16
202,31,8,r1,color r1
201,26,9,r2,color r2
179,16,4,r3,color r3
244,92,64,r4,color r4
139,0,0,r5,color r5
114,14,15,r6,color r6
51,0,0,r7,color r7
181,44,32,r8,color r8
214,117,114,r9,color r9
254,186,189,r10,color r10
254,204,207,r11,color r12
107,90,90,br17,color br17
99,95,82,br18,color br18
242,243,242,w1,color w1
230,227,224,w2,color w2
171,173,172,s1,color s1
137,135,136,s2,color s2
