r,g,b,name,color
197,140,133,skin1,color skin1
236,188,180,skin2,color skin2
209,163,164,skin3,color skin3
161,102,94,skin4,color skin4
80,51,53,skin5,color skin5
89,47,42,skin6,color skin6
217,227,142,olive,color olive
252,164,226,pink,color pink
172,44,109,pink1,color pink1
245,69,213,pink2,color pink2
252,92,39,orang1,color orange1
0,230,22,orange2,color orange2
32,5,147,blue1,color blue1
0,170,204,olive1,color olive1
0,251,71,pink3,color pink3
149,3,56,blood,color blood
230,108,100,blood1,color blood1
0,7,145,green1,color green1
172,220,228,green2,color green2
0,8,188,green3,color green3
99,164,136,green4,color green4
242,6,13,blood2,color blood2
255,255,85,yellow2,color yello2
255,137,81,orange1,color orange
123,87,249,purple,color purple
255,98,176,pink4,color pink4
245,251,36,yellow3,color yellow3
228,228,228,white1,color white1
171,119,249,purple2,color purple2
200,6,45,blood3,color blood3
137,137,137,grey,color grey
0,0,198,blue2,color blue2
249,255,252,white2,color white2
255,201,14,yellow4,color yellow4
253,253,0,yellow5,color yellow5
0,0,160,blue3,color blue3
233,200,10,peach,color peach
245,124,31,peach1,color peach1
142,192,255,blue5,color blue5
113,244,251,sky2,color sky2
248,253,23,yellow6,color yellow6
255,172,89,orange2,color orange2
215,17,27,blood6,color blood6
83,169,255,blue6,color blue6
243,151,95,brown1,color brown1
239,118,46,brown2,color brown2
40,49,153,blue7,color blue7
234,234,234,grey3,color grey3
255,215,174,orange3,color orange3
186,24,226,purple3,color purple3
191,122,199,purple4,color purple4
